Nodes
0|Adams Field-Little Rock, AR|1299202
2|43|206.784605978261|Albuquerque International Sunport|Albuquerque, NM|Orlando International|Orlando, FL
2|10|184.568767688679|Albuquerque International Sunport|Albuquerque, NM|Chicago Midway International|Chicago, IL
2|33|228.924748201439|Albuquerque International Sunport|Albuquerque, NM|Manchester-Boston Regional|Boston, MA (Metropolitan Area)
2|19|145.8346875|Albuquerque International Sunport|Albuquerque, NM|General Mitchell International|Milwaukee, WI
2|37|179.323152542373|Albuquerque International Sunport|Albuquerque, NM|Minneapolis-St Paul International|Minneapolis/St. Paul, MN
2|30|201.649259757739|Albuquerque International Sunport|Albuquerque, NM|Louis Armstrong New Orleans International|New Orleans, LA
2|35|179.87673853211|Albuquerque International Sunport|Albuquerque, NM|Metropolitan Oakland International|San Francisco, CA (Metropolitan Area)
2|68|178.215770750988|Albuquerque International Sunport|Albuquerque, NM|Will Rogers World|Oklahoma City, OK
2|17|158.139693877551|Albuquerque International Sunport|Albuquerque, NM|Eppley Airfield|Omaha, NE
2|42|172.480119926199|Albuquerque International Sunport|Albuquerque, NM|Ontario International|Los Angeles, CA (Metropolitan Area)
2|39|215.773963963964|Albuquerque International Sunport|Albuquerque, NM|Norfolk International|Norfolk, VA (Metropolitan Area)
2|44|195.723707865168|Albuquerque International Sunport|Albuquerque, NM|Palm Beach International|West Palm Beach/Palm Beach, FL
2|49|196.179754816112|Albuquerque International Sunport|Albuquerque, NM|Portland International|Portland, OR
2|45|184.78899408284|Albuquerque International Sunport|Albuquerque, NM|Philadelphia International|Philadelphia, PA
2|46|114.232514001245|Albuquerque International Sunport|Albuquerque, NM|Phoenix Sky Harbor International|Phoenix, AZ
2|47|193.776204379562|Albuquerque International Sunport|Albuquerque, NM|Pittsburgh International|Pittsburgh, PA
2|62|229.501096605744|Albuquerque International Sunport|Albuquerque, NM|Theodore Francis Green State|Boston, MA (Metropolitan Area)
2|50|181.479174528302|Albuquerque International Sunport|Albuquerque, NM|Raleigh-Durham International|Raleigh/Durham, NC
2|51|173.280523917995|Albuquerque International Sunport|Albuquerque, NM|Reno/Tahoe International|Reno, NV
2|59|189.564695121951|Albuquerque International Sunport|Albuquerque, NM|Southwest Florida International|Fort Myers, FL
2|56|169.131108949416|Albuquerque International Sunport|Albuquerque, NM|San Diego International|San Diego, CA
2|55|165.18893982808|Albuquerque International Sunport|Albuquerque, NM|San Antonio International|San Antonio, TX
2|31|214.336173913043|Albuquerque International Sunport|Albuquerque, NM|Louisville International-Standiford Field|Louisville, KY
2|58|205.870930913349|Albuquerque International Sunport|Albuquerque, NM|Seattle/Tacoma International|Seattle, WA
2|57|157.418547351525|Albuquerque International Sunport|Albuquerque, NM|San Francisco International|San Francisco, CA (Metropolitan Area)
2|40|168.850652463382|Albuquerque International Sunport|Albuquerque, NM|Norman Y. Mineta San Jose International|San Francisco, CA (Metropolitan Area)
2|54|164.011444444444|Albuquerque International Sunport|Albuquerque, NM|Salt Lake City International|Salt Lake City, UT
2|53|176.598653968254|Albuquerque International Sunport|Albuquerque, NM|Sacramento International|Sacramento, CA
2|23|172.635313327449|Albuquerque International Sunport|Albuquerque, NM|John Wayne Airport-Orange County|Los Angeles, CA (Metropolitan Area)
2|26|180.057735004476|Albuquerque International Sunport|Albuquerque, NM|Lambert-St. Louis International|St. Louis, MO
2|61|169.454645222327|Albuquerque International Sunport|Albuquerque, NM|Tampa International|Tampa, FL (Metropolitan Area)
2|64|195.223235294118|Albuquerque International Sunport|Albuquerque, NM|Tulsa International|Tulsa, OK
