Nodes
0|Abilene Regional-Abilene, TX|1013603
1|Abraham Lincoln Capital-Springfield, IL|1495203
2|Adams Field-Little Rock, AR|1299203
3|Albuquerque International Sunport-Albuquerque, NM|1014002
4|Alexandria International-Alexandria, LA|1018502
5|Aspen Pitkin County Sardy Field-Aspen, CO|1037202
6|Aspen Pitkin County Sardy Field-Aspen, CO|1037203
7|Augusta Regional at Bush Field-Augusta, GA|1020803
8|Austin - Bergstrom International-Austin, TX|1042302
9|Austin Straubel International-Green Bay, WI|1197702
10|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
11|Baton Rouge Metropolitan/Ryan Field-Baton Rouge, LA|1078102
12|Bellingham International-Bellingham, WA|1066602
13|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
14|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
15|Bishop International-Flint, MI|1172102
16|Blue Grass-Lexington, KY|1294503
17|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
18|Boise Air Terminal-Boise, ID|1071302
19|Bradley International-Hartford, CT|1052904
20|Brownsville South Padre Island International-Brownsville, TX|1074702
21|Buffalo Niagara International-Buffalo, NY|1079204
22|Cape Girardeau Regional-Cape Girardeau, MO|1096702
23|Central Illinois Regional-Bloomington/Normal, IL|1068502
24|Central Nebraska Regional-Grand Island, NE|1198002
25|Central Wisconsin-Wausau/Mosinee/Stevens Point, WI|1120302
26|Charles M. Schulz - Sonoma County-Santa Rosa, CA|1502302
27|Charleston AFB/International-Charleston, SC|1099402
28|Charlotte Douglas International-Charlotte, NC|1105703
29|Charlottesville Albemarle-Charlottesville, VA|1099002
30|Cherry Capital-Traverse City, MI|1538002
31|Cheyenne Regional/Jerry Olson Field-Cheyenne, WY|1123302
32|Chicago O'Hare International-Chicago, IL|1393002
33|Cincinnati/Northern Kentucky International-Cincinnati, OH|1119302
34|City of Colorado Springs Municipal-Colorado Springs, CO|1110902
35|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104202
36|Columbia Metropolitan-Columbia, SC|1086803
37|Columbus Metropolitan-Columbus, GA|1115002
