Nodes
0|Abraham Lincoln Capital-Springfield, IL|1495203
1|Akron-Canton Regional-Cleveland, OH (Metropolitan Area)|1087402
2|Albany International-Albany, NY|1025702
3|Albert J Ellis-Jacksonville/Camp Lejeune, NC|1379502
4|Albuquerque International Sunport-Albuquerque, NM|1014002
5|Alexandria International-Alexandria, LA|1018502
6|Alliance Municipal-Alliance, NE|1022102
7|Altoona-Blair County-Altoona, PA|1032202
8|Arcata-Eureka/Arcata, CA|1015703
9|Asheville Regional-Asheville, NC|1043102
10|Aspen Pitkin County Sardy Field-Aspen, CO|1037203
11|Augusta Regional at Bush Field-Augusta, GA|1020803
12|Austin - Bergstrom International-Austin, TX|1042302
13|Austin Straubel International-Green Bay, WI|1197702
14|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
15|Barkley Regional-Paducah, KY|1400602
16|Baton Rouge Metropolitan/Ryan Field-Baton Rouge, LA|1078102
17|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
18|Billings Logan International-Billings, MT|1062002
19|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
20|Bishop International-Flint, MI|1172102
21|Bismarck Municipal-Bismarck/Mandan, ND|1062702
22|Blue Grass-Lexington, KY|1294503
23|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
24|Boise Air Terminal-Boise, ID|1071302
25|Bozeman Yellowstone International-Bozeman, MT|1084903
26|Bradley International-Hartford, CT|1052904
27|Brownsville South Padre Island International-Brownsville, TX|1074702
28|Buffalo Niagara International-Buffalo, NY|1079204
29|Burlington International-Burlington, VT|1078502
30|Canyonlands Field-Moab, UT|1109202
31|Capital Region International-Lansing, MI|1288403
32|Casper/Natrona County International-Casper, WY|1112202
33|Central Wisconsin-Wausau/Mosinee/Stevens Point, WI|1120302
34|Charleston AFB/International-Charleston, SC|1099402
35|Charlotte Douglas International-Charlotte, NC|1105703
36|Charlottesville Albemarle-Charlottesville, VA|1099002
37|Chautauqua County/Jamestown-Jamestown, NY|1249402
38|Cherry Capital-Traverse City, MI|1538002
39|Cherry Capital-Traverse City, MI|1538003
40|Cheyenne Regional/Jerry Olson Field-Cheyenne, WY|1123302
41|Chicago O'Hare International-Chicago, IL|1393002
42|Chicago O'Hare International-Chicago, IL|1393003
43|Chico Municipal-Chico, CA|1100202
44|Chippewa Valley Regional-Eau Claire, WI|1147103
45|Cincinnati/Northern Kentucky International-Cincinnati, OH|1119302
46|City of Colorado Springs Municipal-Colorado Springs, CO|1110902
47|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104202
48|Coastal Carolina Regional-New Bern/Morehead/Beaufort, NC|1161705
49|Coastal Carolina Regional-New Bern/Morehead/Beaufort, NC|1161706
50|Columbia Metropolitan-Columbia, SC|1086803
51|Corpus Christi International-Corpus Christi, TX|1114002
52|Cortez Municipal-Cortez, CO|1095002
53|Cyril E King-Charlotte Amalie, VI|1502403
54|Dallas/Fort Worth International-Dallas/Fort Worth, TX|1129803
55|Dallas Love Field-Dallas/Fort Worth, TX|1125903
56|Dane County Regional-Truax Field-Madison, WI|1348502
57|Del Rio International-Del Rio, TX|1141501
58|Denver International-Denver, CO|1129202
59|Des Moines International-Des Moines, IA|1142303
60|Detroit Metro Wayne County-Detroit, MI|1143302
61|Dickinson - Theodore Roosevelt Regional-Dickinson, ND|1131502
62|Dodge City Regional-Dodge City, KS|1128302
63|DuBois Regional-DuBois, PA|1144102
64|Duluth International-Duluth, MN|1133703
65|Durango La Plata County-Durango, CO|1141303
66|Eagle County Regional-Eagle, CO|1150303
67|Easterwood Field-College Station/Bryan, TX|1104902
68|El Paso International-El Paso, TX|1154003
69|Eppley Airfield-Omaha, NE|1387102
70|Erie International/Tom Ridge Field-Erie, PA|1157704
71|Ernest A. Love Field-Prescott, AZ|1423703
72|Fairbanks International-Fairbanks, AK|1163002
73|Fayetteville Regional/Grannis Field-Fayetteville, NC|1164102
74|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169703
75|Fort Wayne International-Fort Wayne, IN|1182304
76|Four Corners Regional-Farmington, NM|1171102
77|Francisco C. Ada Saipan International-Saipan, TT|1495503
78|Fresno Yosemite International-Fresno, CA|1163804
79|Fresno Yosemite International-Fresno, CA|1163805
80|Gainesville Regional-Gainesville, FL|1195302
81|General Downing - Peoria International-Peoria, IL|1410803
82|General Mitchell International-Milwaukee, WI|1334205
83|George Bush Intercontinental/Houston-Houston, TX|1226603
84|Gerald R. Ford International-Grand Rapids, MI|1198603
85|Gillette Campbell County-Gillette, WY|1186502
